"","source","Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Attendance","HHW","AHW","HO","AO","year_short","data_url"
"70","1","SC0","11/11/2023",15:00:00,"Hibernian","Kilmarnock",1,0,"H",1,0,"H","D Dickinson",7,9,5,1,6,14,5,10,2,5,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"71","1","SC0","11/11/2023",15:00:00,"Motherwell","Hearts",1,2,"A",0,1,"A","D Munro",8,14,1,3,13,12,4,10,4,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"72","1","SC0","11/11/2023",15:00:00,"St Johnstone","Ross County",1,0,"H",0,0,"D","N Walsh",10,8,3,2,11,13,3,4,4,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"73","1","SC0","12/11/2023",12:00:00,"Livingston","Rangers",0,2,"A",0,1,"A","S McLean",4,18,1,6,14,7,3,9,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"74","1","SC0","12/11/2023",14:30:00,"Celtic","Aberdeen",6,0,"H",2,0,"H","W Collum",21,3,10,1,5,8,11,0,0,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"75","1","SC0","25/11/2023",15:00:00,"Celtic","Motherwell",1,1,"D",0,0,"D","S McLean",20,6,4,2,8,9,13,2,1,4,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"76","1","SC0","25/11/2023",15:00:00,"Dundee","Hibernian",1,2,"A",0,1,"A","D Robertson",19,10,7,3,6,9,7,3,2,1,0,1,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"77","1","SC0","25/11/2023",15:00:00,"Hearts","St Johnstone",1,0,"H",0,0,"D","J Beaton",18,10,4,3,5,17,6,5,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"78","1","SC0","25/11/2023",15:00:00,"Ross County","Kilmarnock",0,0,"D",0,0,"D","C Steven",15,13,5,1,10,9,9,5,1,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"79","1","SC0","25/11/2023",15:00:00,"St Mirren","Livingston",1,0,"H",1,0,"H","D Munro",15,11,1,1,13,10,7,3,1,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"80","1","SC0","26/11/2023",12:00:00,"Aberdeen","Rangers",1,1,"D",1,0,"H","N Walsh",5,22,4,10,16,11,0,5,4,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"81","1","SC0","28/11/2023",19:45:00,"Ross County","St Mirren",1,0,"H",0,0,"D","W Collum",6,6,2,1,11,14,7,5,0,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"82","1","SC0","02/12/2023",15:00:00,"Kilmarnock","Hearts",0,1,"A",0,1,"A","D Dickinson",17,11,3,1,14,12,7,3,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"83","1","SC0","02/12/2023",15:00:00,"Motherwell","Dundee",3,3,"D",1,2,"A","I Snedden",9,16,4,4,6,9,4,4,3,2,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"84","1","SC0","03/12/2023",12:00:00,"St Johnstone","Celtic",1,3,"A",1,0,"H","D Robertson",5,25,3,7,8,7,2,12,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"85","1","SC0","03/12/2023",15:00:00,"Hibernian","Aberdeen",2,0,"H",1,0,"H","W Collum",11,23,3,5,13,13,6,6,3,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"86","1","SC0","03/12/2023",15:00:00,"Rangers","St Mirren",2,0,"H",1,0,"H","M MacDermid",21,4,6,3,9,8,8,5,1,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"87","1","SC0","05/12/2023",19:45:00,"Ross County","Motherwell",3,0,"H",2,0,"H","D Dickinson",13,14,6,4,14,9,6,3,1,2,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"88","1","SC0","06/12/2023",19:45:00,"Aberdeen","Kilmarnock",0,1,"A",0,0,"D","M MacDermid",18,8,3,2,11,21,4,5,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"89","1","SC0","06/12/2023",19:45:00,"Celtic","Hibernian",4,1,"H",2,0,"H","J Beaton",26,6,12,3,10,8,11,4,2,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"90","1","SC0","06/12/2023",19:45:00,"St Johnstone","St Mirren",1,0,"H",0,0,"D","K Clancy",11,13,5,5,9,10,0,7,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"91","1","SC0","06/12/2023",20:00:00,"Hearts","Rangers",0,1,"A",0,1,"A","W Collum",12,22,5,5,13,11,6,5,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"92","1","SC0","09/12/2023",15:00:00,"Aberdeen","Hearts",2,1,"H",0,1,"A","C Graham",14,5,6,3,13,20,3,8,3,7,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"93","1","SC0","09/12/2023",15:00:00,"Livingston","Hibernian",0,1,"A",0,1,"A","G Irvine",14,4,3,2,11,13,6,0,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"94","1","SC0","09/12/2023",15:00:00,"Motherwell","St Johnstone",1,1,"D",0,0,"D","E Anderson",17,11,8,2,11,11,3,2,0,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"95","1","SC0","09/12/2023",15:00:00,"Rangers","Dundee",3,1,"H",3,1,"H","K Clancy",20,9,9,3,12,9,5,7,1,3,1,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"96","1","SC0","09/12/2023",15:00:00,"St Mirren","Ross County",2,0,"H",0,0,"D","C Scott",15,9,6,2,9,12,10,4,2,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"97","1","SC0","10/12/2023",12:00:00,"Kilmarnock","Celtic",2,1,"H",0,1,"A","D Munro",13,16,6,7,14,12,5,9,3,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"98","1","SC0","16/12/2023",15:00:00,"Celtic","Hearts",0,2,"A",0,2,"A","K Clancy",22,5,5,2,12,3,18,3,1,0,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"99","1","SC0","16/12/2023",15:00:00,"Livingston","Kilmarnock",0,0,"D",0,0,"D","W Collum",8,11,1,3,17,11,0,8,2,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"100","1","SC0","16/12/2023",15:00:00,"Ross County","Dundee",0,1,"A",0,0,"D","C Steven",10,17,3,3,10,10,2,9,1,2,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"101","1","SC0","16/12/2023",15:00:00,"St Johnstone","Hibernian",1,0,"H",0,0,"D","G Grainger",14,3,7,0,10,8,5,5,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"102","1","SC0","16/12/2023",15:00:00,"St Mirren","Motherwell",0,0,"D",0,0,"D","C Napier",11,8,3,4,11,11,6,4,1,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"103","1","SC0","20/12/2023",19:45:00,"Aberdeen","Livingston",2,1,"H",1,1,"D","N Walsh",11,11,6,4,8,15,1,3,0,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"104","1","SC0","20/12/2023",19:45:00,"Rangers","St Johnstone",2,0,"H",1,0,"H","A Muir",28,2,8,0,7,11,10,2,2,2,0,1,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"105","1","SC0","23/12/2023",15:00:00,"Celtic","Livingston",2,0,"H",0,0,"D","M MacDermid",22,0,7,0,5,4,14,0,0,1,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
"106","1","SC0","23/12/2023",15:00:00,"Hearts","St Mirren",2,0,"H",1,0,"H","N Walsh",12,11,6,4,16,9,8,6,2,3,0,0,NA,NA,NA,NA,NA,"2324","https://www.football-data.co.uk/mmz4281/2324/SC0.csv"
